,超额收益TR,资产配置贡献AR,个股选择贡献SR,交互贡献IR
2014-12-31,-0.48300035591405893,-0.31445775434801837,-0.2572101011121401,0.08866749954609948
2015-06-30,0.17654466156614484,0.13364860290252628,-0.0592133562279213,0.10210941489153987
2015-12-31,-0.04766637648525493,0.03543663980829712,0.017106503866075783,-0.10020952015962784
2016-06-30,0.046961791946196124,0.0188323787786531,0.0502166842939553,-0.02208727112641228
2016-12-31,0.02903326091251547,0.006043308979007909,0.007842329338615043,0.015147622594892518
2017-06-30,-0.02750186129768087,-0.0371908756782046,-0.026989678833743813,0.036678693214267546
2017-12-31,0.04610709059802734,0.0273471625112632,0.0003733193369382798,0.01838660874982586
2018-06-30,0.09178893436415403,0.05118020628379257,0.09077331092645263,-0.05016458284609119
2018-12-31,-0.0806028860280198,-0.042368847698385996,0.0475609384988937,-0.08579497682852749
2019-06-30,0.03464173198108965,-0.00949640486962286,-0.08522451155609238,0.1293626484068049
2019-12-31,0.024209737129945008,-0.023783009888086133,0.11816887514616864,-0.0701761281281375
2020-06-30,-0.03549564370485188,0.0070843352988315105,-0.04554802778462901,0.0029680487809456216
2020-12-31,0.35794978835352176,0.1330120304878691,0.10673453711859243,0.11820322074706022
2021-06-30,0.061684221756980295,0.0003025187066922373,0.07833041114818382,-0.016948708097895754
2021-12-31,0.10842561319468356,0.07988643535270173,-0.024431406936574005,0.05297058477855583
