,Name,Value,Explenation
0,期间总超额收益,0.30848391912397727,"策略相对于基准获得的额外收益, 包含主动配置收益、标的选择收益以及交互效应收益"
1,期间总资产配置贡献,0.1035006822622966,主动配置的收益来源于对上涨行业的超配或对下跌行业的低配
2,期间总个股选择贡献,0.1099685030903974,标的选择的收益来源于对行业中表现好的个股的超配或对行业中表现差的个股的低配
3,期间总交互贡献,0.09501473377128329,超额收益中同时受到主动配置与标的选择影响的部分
