,id,code,period_start,period_end,pub_date,report_type_id,report_type,rank,symbol,name,shares,market_cap,proportion
0,11978253,000592,2014-05-14,2014-12-31,2015-03-31,403006,年度,1,601318,中国平安,66850.0,4994363.5,8.55
1,11978254,000592,2014-05-14,2014-12-31,2015-03-31,403006,年度,2,600340,华夏幸福,72824.0,3175126.4,5.44
2,11978255,000592,2014-05-14,2014-12-31,2015-03-31,403006,年度,3,600271,航天信息,100900.0,3078459.0,5.27
3,11978256,000592,2014-05-14,2014-12-31,2015-03-31,403006,年度,4,600651,飞乐音响,349298.0,2857257.64,4.89
4,11978257,000592,2014-05-14,2014-12-31,2015-03-31,403006,年度,5,000625,长安汽车,168107.0,2761998.01,4.73
5,11978258,000592,2014-05-14,2014-12-31,2015-03-31,403006,年度,6,000998,隆平高科,134675.0,2651750.75,4.54
6,11978259,000592,2014-05-14,2014-12-31,2015-03-31,403006,年度,7,600030,中信证券,75700.0,2566230.0,4.39
7,11978260,000592,2014-05-14,2014-12-31,2015-03-31,403006,年度,8,600837,海通证券,96400.0,2319384.0,3.97
8,11978261,000592,2014-05-14,2014-12-31,2015-03-31,403006,年度,9,002063,远光软件,76500.0,1533825.0,2.63
9,11978262,000592,2014-05-14,2014-12-31,2015-03-31,403006,年度,10,300070,碧水源,43223.0,1504160.4,2.58
10,11978263,000592,2014-05-14,2014-12-31,2015-03-31,403006,年度,11,300005,探路者,73300.0,1360448.0,2.33
11,11978264,000592,2014-05-14,2014-12-31,2015-03-31,403006,年度,12,000402,金 融 街,109600.0,1351368.0,2.31
12,11978265,000592,2014-05-14,2014-12-31,2015-03-31,403006,年度,13,600280,中央商场,93100.0,1340640.0,2.3
13,11978266,000592,2014-05-14,2014-12-31,2015-03-31,403006,年度,14,000596,古井贡酒,35500.0,1311725.0,2.25
14,11978267,000592,2014-05-14,2014-12-31,2015-03-31,403006,年度,15,600584,长电科技,117263.0,1305137.19,2.23
15,11978268,000592,2014-05-14,2014-12-31,2015-03-31,403006,年度,16,000001,平安银行,79150.0,1253736.0,2.15
16,11978269,000592,2014-05-14,2014-12-31,2015-03-31,403006,年度,17,600212,江泉实业,145484.0,1192968.8,2.04
17,11978270,000592,2014-05-14,2014-12-31,2015-03-31,403006,年度,18,601328,交通银行,159200.0,1082560.0,1.85
18,11978271,000592,2014-05-14,2014-12-31,2015-03-31,403006,年度,19,600358,国旅联合,147200.0,1067200.0,1.83
19,11978272,000592,2014-05-14,2014-12-31,2015-03-31,403006,年度,20,601166,兴业银行,63500.0,1047750.0,1.79
20,11978273,000592,2014-05-14,2014-12-31,2015-03-31,403006,年度,21,000024,招商地产,36400.0,960596.0,1.64
21,11978274,000592,2014-05-14,2014-12-31,2015-03-31,403006,年度,22,002573,国电清新,32900.0,910672.0,1.56
22,11978275,000592,2014-05-14,2014-12-31,2015-03-31,403006,年度,23,000031,中粮地产,94800.0,802008.0,1.37
23,11978276,000592,2014-05-14,2014-12-31,2015-03-31,403006,年度,24,601633,长城汽车,17100.0,710505.0,1.22
24,11978277,000592,2014-05-14,2014-12-31,2015-03-31,403006,年度,25,300162,雷曼光电,11700.0,655200.0,1.12
25,11978278,000592,2014-05-14,2014-12-31,2015-03-31,403006,年度,26,002462,嘉事堂,24400.0,651480.0,1.12
26,11978279,000592,2014-05-14,2014-12-31,2015-03-31,403006,年度,27,000550,江铃汽车,21400.0,648420.0,1.11
27,11978280,000592,2014-05-14,2014-12-31,2015-03-31,403006,年度,28,600048,保利地产,58900.0,637298.0,1.09
28,11978281,000592,2014-05-14,2014-12-31,2015-03-31,403006,年度,29,600292,中电远达,28300.0,630524.0,1.08
29,11978282,000592,2014-05-14,2014-12-31,2015-03-31,403006,年度,30,601988,中国银行,147300.0,611295.0,1.05
30,11978283,000592,2014-05-14,2014-12-31,2015-03-31,403006,年度,31,002672,东江环保,16900.0,587106.0,1.01
31,11978284,000592,2014-05-14,2014-12-31,2015-03-31,403006,年度,32,002285,世联行,38800.0,583552.0,1.0
32,11978285,000592,2014-05-14,2014-12-31,2015-03-31,403006,年度,33,600388,龙净环保,16500.0,577500.0,0.99
33,11978286,000592,2014-05-14,2014-12-31,2015-03-31,403006,年度,34,600021,上海电力,68700.0,536547.0,0.92
34,11978287,000592,2014-05-14,2014-12-31,2015-03-31,403006,年度,35,300170,汉得信息,33800.0,446836.0,0.77
35,11978288,000592,2014-05-14,2014-12-31,2015-03-31,403006,年度,36,600741,华域汽车,27900.0,431892.0,0.74
36,11978289,000592,2014-05-14,2014-12-31,2015-03-31,403006,年度,37,600287,江苏舜天,32600.0,398372.0,0.68
37,11978290,000592,2014-05-14,2014-12-31,2015-03-31,403006,年度,38,601918,国投新集,56900.0,325468.0,0.56
38,11978291,000592,2014-05-14,2014-12-31,2015-03-31,403006,年度,39,600511,国药股份,10400.0,322296.0,0.55
39,11978292,000592,2014-05-14,2014-12-31,2015-03-31,403006,年度,40,000039,中集集团,14500.0,317405.0,0.54
40,11978293,000592,2014-05-14,2014-12-31,2015-03-31,403006,年度,41,002038,双鹭药业,8000.0,316800.0,0.54
41,11978294,000592,2014-05-14,2014-12-31,2015-03-31,403006,年度,42,601555,东吴证券,14000.0,313880.0,0.54
42,11978295,000592,2014-05-14,2014-12-31,2015-03-31,403006,年度,43,600702,沱牌舍得,16400.0,305532.0,0.52
43,11978296,000592,2014-05-14,2014-12-31,2015-03-31,403006,年度,44,600549,厦门钨业,9200.0,303416.0,0.52
44,11978297,000592,2014-05-14,2014-12-31,2015-03-31,403006,年度,45,600392,盛和资源,10600.0,294150.0,0.5
45,11978298,000592,2014-05-14,2014-12-31,2015-03-31,403006,年度,46,600582,天地科技,23700.0,288903.0,0.49
46,11978299,000592,2014-05-14,2014-12-31,2015-03-31,403006,年度,47,600694,大商股份,6000.0,287580.0,0.49
47,11978300,000592,2014-05-14,2014-12-31,2015-03-31,403006,年度,48,000422,湖北宜化,38200.0,286118.0,0.49
