,id,code,day,net_value,sum_value,factor,acc_factor,refactor_net_value
0,29813402,000689,2014-08-20,1.0,1.0,1.0,1.0,1.0
1,2468437,000689,2014-08-22,1.0,1.0,1.0,1.0,1.0
2,2468438,000689,2014-08-29,1.0,1.0,1.0,1.0,1.0
3,2468439,000689,2014-09-05,1.007,1.007,1.0,1.0,1.007
4,2468440,000689,2014-09-12,1.011,1.011,1.0,1.0,1.011
5,2468441,000689,2014-09-19,1.009,1.009,1.0,1.0,1.009
6,2468442,000689,2014-09-24,1.016,1.016,1.0,1.0,1.016
7,2468443,000689,2014-09-25,1.013,1.013,1.0,1.0,1.013
8,2468444,000689,2014-09-26,1.014,1.014,1.0,1.0,1.014
9,2468445,000689,2014-09-29,1.022,1.022,1.0,1.0,1.022
10,2468446,000689,2014-09-30,1.029,1.029,1.0,1.0,1.029
11,2468447,000689,2014-10-08,1.041,1.041,1.0,1.0,1.041
12,2468448,000689,2014-10-09,1.036,1.036,1.0,1.0,1.036
13,2468449,000689,2014-10-10,1.031,1.031,1.0,1.0,1.031
14,2468450,000689,2014-10-13,1.035,1.035,1.0,1.0,1.035
15,2468451,000689,2014-10-14,1.032,1.032,1.0,1.0,1.032
16,2468452,000689,2014-10-15,1.039,1.039,1.0,1.0,1.039
17,2468453,000689,2014-10-16,1.032,1.032,1.0,1.0,1.032
18,2468454,000689,2014-10-17,1.026,1.026,1.0,1.0,1.026
19,2468455,000689,2014-10-20,1.035,1.035,1.0,1.0,1.035
20,2468456,000689,2014-10-21,1.028,1.028,1.0,1.0,1.028
21,2468457,000689,2014-10-22,1.019,1.019,1.0,1.0,1.019
22,2468458,000689,2014-10-23,1.005,1.005,1.0,1.0,1.005
23,2468459,000689,2014-10-24,1.007,1.007,1.0,1.0,1.007
24,2468460,000689,2014-10-27,1.012,1.012,1.0,1.0,1.012
25,2468461,000689,2014-10-28,1.03,1.03,1.0,1.0,1.03
26,2468462,000689,2014-10-29,1.04,1.04,1.0,1.0,1.04
27,2468463,000689,2014-10-30,1.04,1.04,1.0,1.0,1.04
28,2468464,000689,2014-10-31,1.041,1.041,1.0,1.0,1.041
29,2468465,000689,2014-11-03,1.05,1.05,1.0,1.0,1.05
30,2468466,000689,2014-11-04,1.047,1.047,1.0,1.0,1.047
31,2468467,000689,2014-11-05,1.045,1.045,1.0,1.0,1.045
32,2468468,000689,2014-11-06,1.051,1.051,1.0,1.0,1.051
33,2468469,000689,2014-11-07,1.043,1.043,1.0,1.0,1.043
34,2468470,000689,2014-11-10,1.047,1.047,1.0,1.0,1.047
35,2468471,000689,2014-11-11,1.026,1.026,1.0,1.0,1.026
36,2468472,000689,2014-11-12,1.044,1.044,1.0,1.0,1.044
37,2468473,000689,2014-11-13,1.032,1.032,1.0,1.0,1.032
38,2468474,000689,2014-11-14,1.026,1.026,1.0,1.0,1.026
39,2468475,000689,2014-11-17,1.03,1.03,1.0,1.0,1.03
