,id,code,day,net_value,sum_value,factor,acc_factor,refactor_net_value
0,29811909,000592,2014-05-14,1.0,1.0,1.0,1.0,1.0
1,2465214,000592,2014-05-16,1.0,1.0,1.0,1.0,1.0
2,2465215,000592,2014-05-23,1.0,1.0,1.0,1.0,1.0
3,2465216,000592,2014-05-30,1.001,1.001,1.0,1.0,1.001
4,2465217,000592,2014-06-06,1.0,1.0,1.0,1.0,1.0
5,2465218,000592,2014-06-13,1.002,1.002,1.0,1.0,1.002
6,2465219,000592,2014-06-20,1.002,1.002,1.0,1.0,1.002
7,2465220,000592,2014-06-27,1.004,1.004,1.0,1.0,1.004
8,2465221,000592,2014-06-30,1.005,1.005,1.0,1.0,1.005
9,2465222,000592,2014-07-04,1.006,1.006,1.0,1.0,1.006
10,2465223,000592,2014-07-11,1.006,1.006,1.0,1.0,1.006
11,2465224,000592,2014-07-18,1.006,1.006,1.0,1.0,1.006
12,2465225,000592,2014-07-21,1.007,1.007,1.0,1.0,1.007
13,2465226,000592,2014-07-22,1.01,1.01,1.0,1.0,1.01
14,2465227,000592,2014-07-23,1.01,1.01,1.0,1.0,1.01
15,2465228,000592,2014-07-24,1.01,1.01,1.0,1.0,1.01
16,2465229,000592,2014-07-25,1.011,1.011,1.0,1.0,1.011
17,2465230,000592,2014-07-28,1.015,1.015,1.0,1.0,1.015
18,2465231,000592,2014-07-29,1.016,1.016,1.0,1.0,1.016
19,2465232,000592,2014-07-30,1.015,1.015,1.0,1.0,1.015
20,2465233,000592,2014-07-31,1.019,1.019,1.0,1.0,1.019
21,2465234,000592,2014-08-01,1.018,1.018,1.0,1.0,1.018
22,2465235,000592,2014-08-04,1.025,1.025,1.0,1.0,1.025
23,2465236,000592,2014-08-05,1.025,1.025,1.0,1.0,1.025
24,2465237,000592,2014-08-06,1.025,1.025,1.0,1.0,1.025
25,2465238,000592,2014-08-07,1.019,1.019,1.0,1.0,1.019
26,2465239,000592,2014-08-08,1.022,1.022,1.0,1.0,1.022
27,2465240,000592,2014-08-11,1.034,1.034,1.0,1.0,1.034
28,2465241,000592,2014-08-12,1.035,1.035,1.0,1.0,1.035
29,2465242,000592,2014-08-13,1.034,1.034,1.0,1.0,1.034
30,2465243,000592,2014-08-14,1.029,1.029,1.0,1.0,1.029
31,2465244,000592,2014-08-15,1.033,1.033,1.0,1.0,1.033
32,2465245,000592,2014-08-18,1.039,1.039,1.0,1.0,1.039
33,2465246,000592,2014-08-19,1.041,1.041,1.0,1.0,1.041
34,2465247,000592,2014-08-20,1.038,1.038,1.0,1.0,1.038
35,2465248,000592,2014-08-21,1.036,1.036,1.0,1.0,1.036
36,2465249,000592,2014-08-22,1.043,1.043,1.0,1.0,1.043
37,2465250,000592,2014-08-25,1.037,1.037,1.0,1.0,1.037
38,2465251,000592,2014-08-26,1.019,1.019,1.0,1.0,1.019
39,2465252,000592,2014-08-27,1.023,1.023,1.0,1.0,1.023
40,2465253,000592,2014-08-28,1.017,1.017,1.0,1.0,1.017
41,2465254,000592,2014-08-29,1.028,1.028,1.0,1.0,1.028
42,2465255,000592,2014-09-01,1.043,1.043,1.0,1.0,1.043
43,2465256,000592,2014-09-02,1.05,1.05,1.0,1.0,1.05
44,2465257,000592,2014-09-03,1.056,1.056,1.0,1.0,1.056
