,id,code,period_start,period_end,pub_date,report_type_id,report_type,rank,symbol,name,shares,market_cap,proportion
0,11980560,000689,2014-08-20,2014-12-31,2015-03-27,403006,年度,1,600376,首开股份,746382.0,7523530.56,5.11
1,11980561,000689,2014-08-20,2014-12-31,2015-03-27,403006,年度,2,600548,深高速,816738.0,6770758.02,4.6
2,11980562,000689,2014-08-20,2014-12-31,2015-03-27,403006,年度,3,002465,海格通信,321783.0,6216847.56,4.22
3,11980563,000689,2014-08-20,2014-12-31,2015-03-27,403006,年度,4,601766,中国南车,773827.0,4937016.26,3.35
4,11980564,000689,2014-08-20,2014-12-31,2015-03-27,403006,年度,5,000768,中航飞机,235400.0,4458476.0,3.03
5,11980565,000689,2014-08-20,2014-12-31,2015-03-27,403006,年度,6,601628,中国人寿,128600.0,4391690.0,2.98
6,11980566,000689,2014-08-20,2014-12-31,2015-03-27,403006,年度,7,600068,葛洲坝,448900.0,4188237.0,2.84
7,11980567,000689,2014-08-20,2014-12-31,2015-03-27,403006,年度,8,600038,哈飞股份,110800.0,4168296.0,2.83
8,11980568,000689,2014-08-20,2014-12-31,2015-03-27,403006,年度,9,600027,华电国际,559900.0,3919300.0,2.66
9,11980569,000689,2014-08-20,2014-12-31,2015-03-27,403006,年度,10,000600,建投能源,385650.0,3914347.5,2.66
10,11980570,000689,2014-08-20,2014-12-31,2015-03-27,403006,年度,11,000726,鲁  泰Ａ,324246.0,3887709.54,2.64
11,11980571,000689,2014-08-20,2014-12-31,2015-03-27,403006,年度,12,600177,雅戈尔,329200.0,3789092.0,2.57
12,11980572,000689,2014-08-20,2014-12-31,2015-03-27,403006,年度,13,600897,厦门空港,150155.0,3602218.45,2.44
13,11980573,000689,2014-08-20,2014-12-31,2015-03-27,403006,年度,14,600739,辽宁成大,159144.0,3420004.56,2.32
14,11980574,000689,2014-08-20,2014-12-31,2015-03-27,403006,年度,15,600018,上港集团,510700.0,3278694.0,2.23
15,11980575,000689,2014-08-20,2014-12-31,2015-03-27,403006,年度,16,600004,白云机场,288700.0,3155491.0,2.14
16,11980576,000689,2014-08-20,2014-12-31,2015-03-27,403006,年度,17,000926,福星股份,273700.0,2945012.0,2.0
