,id,code,day,net_value,sum_value,factor,acc_factor,refactor_net_value
0,29813349,003567,2017-02-04,1.0,1.0,1.0,1.0,1.0
1,807403,003567,2017-02-10,0.9999,0.9999,1.0,1.0,0.9999
2,807404,003567,2017-02-17,0.9983,0.9983,1.0,1.0,0.9983
3,807405,003567,2017-02-24,1.0079,1.0079,1.0,1.0,1.0079
4,807406,003567,2017-03-03,1.0082,1.0082,1.0,1.0,1.0082
5,807407,003567,2017-03-09,1.0074,1.0074,1.0,1.0,1.0074
6,807408,003567,2017-03-10,1.0086,1.0086,1.0,1.0,1.0086
7,807409,003567,2017-03-13,1.01,1.01,1.0,1.0,1.01
8,807410,003567,2017-03-14,1.0062,1.0062,1.0,1.0,1.0062
9,807411,003567,2017-03-15,1.0069,1.0069,1.0,1.0,1.0069
10,807412,003567,2017-03-16,1.0049,1.0049,1.0,1.0,1.0049
11,807413,003567,2017-03-17,1.0045,1.0045,1.0,1.0,1.0045
12,807414,003567,2017-03-20,1.0056,1.0056,1.0,1.0,1.0056
13,807415,003567,2017-03-21,1.0115,1.0115,1.0,1.0,1.0115
14,807416,003567,2017-03-22,1.0094,1.0094,1.0,1.0,1.0094
15,807417,003567,2017-03-23,1.0096,1.0096,1.0,1.0,1.0096
16,807418,003567,2017-03-24,1.0112,1.0112,1.0,1.0,1.0112
17,807419,003567,2017-03-27,1.0066,1.0066,1.0,1.0,1.0066
18,807420,003567,2017-03-28,1.0066,1.0066,1.0,1.0,1.0066
19,807421,003567,2017-03-29,1.0054,1.0054,1.0,1.0,1.0054
20,807422,003567,2017-03-30,1.0011,1.0011,1.0,1.0,1.0011
21,807423,003567,2017-03-31,1.0045,1.0045,1.0,1.0,1.0045
22,807424,003567,2017-04-05,1.0117,1.0117,1.0,1.0,1.0117
23,807425,003567,2017-04-06,1.0143,1.0143,1.0,1.0,1.0143
24,807426,003567,2017-04-07,1.0113,1.0113,1.0,1.0,1.0113
25,807427,003567,2017-04-10,1.0045,1.0045,1.0,1.0,1.0045
26,807428,003567,2017-04-11,1.0035,1.0035,1.0,1.0,1.0035
27,807429,003567,2017-04-12,1.0031,1.0031,1.0,1.0,1.0031
28,807430,003567,2017-04-13,1.006,1.006,1.0,1.0,1.006
29,807431,003567,2017-04-14,1.0003,1.0003,1.0,1.0,1.0003
30,807432,003567,2017-04-17,1.0009,1.0009,1.0,1.0,1.0009
