,id,code,period_start,period_end,pub_date,report_type_id,report_type,rank,symbol,name,shares,market_cap,proportion
0,10915632,000011,2004-01-01,2004-12-31,2004-12-31,403006,年度,1,600009,上海机场    ,6296515.0,95832958.3,8.26
1,10915633,000011,2004-01-01,2004-12-31,2004-12-31,403006,年度,2,600011,华能国际    ,8561761.0,62158384.86,5.35
2,10915634,000011,2004-01-01,2004-12-31,2004-12-31,403006,年度,3,000970,中科三环    ,8006947.0,50363696.63,4.34
3,10915635,000011,2004-01-01,2004-12-31,2004-12-31,403006,年度,4,600029,南方航空    ,8450819.0,45042865.27,3.88
4,10915636,000011,2004-01-01,2004-12-31,2004-12-31,403006,年度,5,000898,鞍钢新轧    ,7301900.0,41474792.0,3.57
5,10915637,000011,2004-01-01,2004-12-31,2004-12-31,403006,年度,6,600028,中国石化    ,9454289.0,41220700.04,3.55
6,10915638,000011,2004-01-01,2004-12-31,2004-12-31,403006,年度,7,600521,华海药业    ,2000049.0,37980930.51,3.27
7,10915639,000011,2004-01-01,2004-12-31,2004-12-31,403006,年度,8,600827,友谊股份    ,4211885.0,30409809.7,2.62
8,10915640,000011,2004-01-01,2004-12-31,2004-12-31,403006,年度,9,000002,万  科Ａ    ,5504958.0,28956079.08,2.49
9,10915641,000011,2004-01-01,2004-12-31,2004-12-31,403006,年度,10,600688,XD上海石    ,5099962.0,25601809.24,2.21
10,10915642,000011,2004-01-01,2004-12-31,2004-12-31,403006,年度,11,600267,海正药业    ,2272892.0,24729064.96,2.13
11,10915643,000011,2004-01-01,2004-12-31,2004-12-31,403006,年度,12,000402,金 融 街    ,2076067.0,20885234.02,1.8
12,10915644,000011,2004-01-01,2004-12-31,2004-12-31,403006,年度,13,000763,锦州石化    ,4091942.0,20623387.68,1.78
13,10915645,000011,2004-01-01,2004-12-31,2004-12-31,403006,年度,14,600019,宝钢股份    ,3312559.0,19875354.0,1.71
14,10915646,000011,2004-01-01,2004-12-31,2004-12-31,403006,年度,15,000758,中色股份    ,3518053.0,17449542.88,1.5
15,10915647,000011,2004-01-01,2004-12-31,2004-12-31,403006,年度,16,600426,华鲁恒升    ,1332623.0,17310772.77,1.49
16,10915648,000011,2004-01-01,2004-12-31,2004-12-31,403006,年度,17,000731,四川美丰    ,1349576.0,14534933.52,1.25
17,10915649,000011,2004-01-01,2004-12-31,2004-12-31,403006,年度,18,600280,南京中商    ,1780986.0,14141028.84,1.22
18,10915650,000011,2004-01-01,2004-12-31,2004-12-31,403006,年度,19,600018,上港集箱    ,860171.0,13109006.04,1.13
19,10915651,000011,2004-01-01,2004-12-31,2004-12-31,403006,年度,20,000630,铜都铜业    ,2232182.0,11897530.06,1.02
20,10915652,000011,2004-01-01,2004-12-31,2004-12-31,403006,年度,21,600166,福田汽车    ,1717814.0,11560888.22,1.0
21,10915653,000011,2004-01-01,2004-12-31,2004-12-31,403006,年度,22,000830,鲁西化工    ,1615358.0,8658318.88,0.75
22,10915654,000011,2004-01-01,2004-12-31,2004-12-31,403006,年度,23,600036,招商银行    ,1000000.0,8350000.0,0.72
23,10915655,000011,2004-01-01,2004-12-31,2004-12-31,403006,年度,24,600460,士 兰 微    ,565000.0,6723500.0,0.58
24,10915656,000011,2004-01-01,2004-12-31,2004-12-31,403006,年度,25,000881,大连国际    ,1498858.0,6579986.62,0.57
25,10915657,000011,2004-01-01,2004-12-31,2004-12-31,403006,年度,26,600320,振华港机    ,706695.0,6487460.1,0.56
26,10915658,000011,2004-01-01,2004-12-31,2004-12-31,403006,年度,27,600327,大厦股份    ,1000000.0,6060000.0,0.52
27,10915659,000011,2004-01-01,2004-12-31,2004-12-31,403006,年度,28,600123,兰花科创    ,546400.0,6010400.0,0.52
28,10915660,000011,2004-01-01,2004-12-31,2004-12-31,403006,年度,29,600383,金地集团    ,573520.0,5666377.6,0.49
29,10915661,000011,2004-01-01,2004-12-31,2004-12-31,403006,年度,30,600386,北京巴士    ,511900.0,5042215.0,0.43
30,10915662,000011,2004-01-01,2004-12-31,2004-12-31,403006,年度,31,600169,太原重工    ,728007.0,4950447.6,0.43
31,10915663,000011,2004-01-01,2004-12-31,2004-12-31,403006,年度,32,600660,福耀玻璃    ,685500.0,4606560.0,0.4
32,10915664,000011,2004-01-01,2004-12-31,2004-12-31,403006,年度,33,600233,大连创世    ,1054762.0,4387809.92,0.38
33,10915665,000011,2004-01-01,2004-12-31,2004-12-31,403006,年度,34,000962,东方钽业    ,500000.0,3685000.0,0.32
34,10915666,000011,2004-01-01,2004-12-31,2004-12-31,403006,年度,35,600012,皖通高速    ,375390.0,2323664.1,0.2
35,10915667,000011,2004-01-01,2004-12-31,2004-12-31,403006,年度,36,002023,海特高新    ,30000.0,513300.0,0.04
36,10922058,000011,2004-10-01,2004-12-31,2005-01-21,403004,第四季度,1,600009,上海机场,6296515.0,95832958.3,8.26
37,10922059,000011,2004-10-01,2004-12-31,2005-01-21,403004,第四季度,2,600011,华能国际,8561761.0,62158384.86,5.35
38,10922060,000011,2004-10-01,2004-12-31,2005-01-21,403004,第四季度,3,000970,中科三环,8006947.0,50363696.63,4.34
39,10922061,000011,2004-10-01,2004-12-31,2005-01-21,403004,第四季度,4,600029,南方航空,8450819.0,45042865.27,3.88
40,10922062,000011,2004-10-01,2004-12-31,2005-01-21,403004,第四季度,5,000898,鞍钢新轧,7301900.0,41474792.0,3.57
41,10922063,000011,2004-10-01,2004-12-31,2005-01-21,403004,第四季度,6,600028,中国石化,9454289.0,41220700.04,3.55
42,10922064,000011,2004-10-01,2004-12-31,2005-01-21,403004,第四季度,7,600521,华海药业,2000049.0,37980930.51,3.27
43,10922065,000011,2004-10-01,2004-12-31,2005-01-21,403004,第四季度,8,600827,友谊股份,4211885.0,30409809.7,2.62
44,10922066,000011,2004-10-01,2004-12-31,2005-01-21,403004,第四季度,9,000002,万 科 Ａ,5504958.0,28956079.08,2.49
45,10922067,000011,2004-10-01,2004-12-31,2005-01-21,403004,第四季度,10,600688,上海石化,5099962.0,25601809.24,2.21
46,10923363,000011,2005-01-01,2005-03-31,2005-04-20,403001,第一季度,1,600009,上海机场    ,5966455.0,98446507.5,9.31
47,10923364,000011,2005-01-01,2005-03-31,2005-04-20,403001,第一季度,2,000970,中科三环    ,6996800.0,50097088.0,4.74
48,10923365,000011,2005-01-01,2005-03-31,2005-04-20,403001,第一季度,3,600011,华能国际    ,7058901.0,49906430.07,4.72
49,10923366,000011,2005-01-01,2005-03-31,2005-04-20,403001,第一季度,4,600029,南方航空    ,10750819.0,41928194.1,3.96
50,10923367,000011,2005-01-01,2005-03-31,2005-04-20,403001,第一季度,5,600521,华海药业    ,2123551.0,36418899.65,3.44
51,10923368,000011,2005-01-01,2005-03-31,2005-04-20,403001,第一季度,6,000898,鞍钢新轧    ,6700000.0,35778000.0,3.38
52,10923369,000011,2005-01-01,2005-03-31,2005-04-20,403001,第一季度,7,600028,中国石化    ,8354289.0,34920928.02,3.3
53,10923370,000011,2005-01-01,2005-03-31,2005-04-20,403001,第一季度,8,600169,太原重工    ,3086836.0,23552558.68,2.23
